,LR,LDA,NB,DT,KNN,MLP,BDT,RF,GB
NS,0.6347437851466011,0.6594445002780851,0.6318487881232514,0.8061017925953883,0.5911535643346278,0.5045240056554952,0.8642463405365874,0.8298017745032333,0.863688103923397
SS,0.7722901977803278,0.6594445002780851,0.6162081912521794,0.806318620314279,0.5820406639458829,0.8041176990714975,0.8635888626913015,0.8292091479448691,0.8635534397858627
MM,0.7693844179308404,0.6594445002780851,0.6162081912521794,0.8065480412416284,0.490061570930347,0.7972752673982301,0.8638313837769849,0.8294902765306059,0.863688103923397
RS,0.7720592306555355,0.6594445002780851,0.6162081912521794,0.8061737199584379,0.6748445527817556,0.8298644628805795,0.8642828354192356,0.8297727274002509,0.863688103923397
QT,0.7658484073732567,0.6491763492861159,0.6135815517626638,0.8073256803358383,0.5633249787652201,0.833676117713411,0.8639646148625789,0.8293619901741316,0.8636899020858227
PT,0.7708350080835094,0.6673926627780137,0.5944150330778181,0.7919212510595572,0.5816328122800355,0.8170370828036292,0.8483270972049038,0.7976826749088457,0.8488030348532328
